"generator","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","mean_stop_offset","mean_restart_offset","mean_abs_stop_offset","mean_abs_restart_offset","score"
"7STDRD_1_SOLAR1",102291,1,20,20,0,-1,323,1,323,1
"7STDRD_1_SOLAR1",181841,1,20,20,0,-1,323,1,323,1
"7STDRD_1_SOLAR1",916581,1,20,20,0,-1,323,1,323,1
"7STDRD_1_SOLAR1",217748,1,20,19.12,0.044,-1,323,1,323,0.956
"7STDRD_1_SOLAR1",482688,1,20,17,0.15,-1,323,1,323,0.85
"ACACIA_6_SOLAR",159086,2,20,20,0,-0.5,100.5,0.5,100.5,2
"ACACIA_6_SOLAR",799732,2,20,12,0.4,-0.5,160.5,0.5,160.5,1.2
"ACACIA_6_SOLAR",102291,1,20,20,0,-1,0,1,0,1
"ACACIA_6_SOLAR",181841,1,20,20,0,-1,0,1,0,1
"ACACIA_6_SOLAR",916581,1,20,20,0,-1,0,1,0,1
"ADERA_1_SOLAR1",159086,3,20,20,0,-0.666666666666667,289,0.666666666666667,289,3
"ADERA_1_SOLAR1",217748,3,20,19.12,0.044,-0.666666666666667,269,0.666666666666667,269,2.868
"ADERA_1_SOLAR1",591854,3,20,26.65,0.3325,-0.666666666666667,269,0.666666666666667,269,2.0025
"ADERA_1_SOLAR1",181841,2,20,20,0,-0.5,373,0.5,373,2
"ADERA_1_SOLAR1",916581,2,20,20,0,-0.5,343,0.5,343,2
"ADLIN_1_UNITS",374980,1,22,23,0.0454545454545455,0,8760,0,8760,0.954545454545455
"ADLIN_1_UNITS",455119,1,22,119,4.40909090909091,0,240,0,240,-3.40909090909091
"ADLIN_1_UNITS",977347,1,22,190,7.63636363636364,0,240,0,240,-6.63636363636364
"ADLIN_1_UNITS",719695,1,22,457,19.7727272727273,0,300,0,300,-18.7727272727273
"ADMEST_6_SOLAR",217748,5,19,19.12,0.00631578947368426,0.8,334.6,0.8,334.6,4.96842105263158
"ADMEST_6_SOLAR",181841,5,19,20,0.0526315789473684,0.8,478.6,0.8,478.6,4.73684210526316
"ADMEST_6_SOLAR",916581,5,19,20,0.0526315789473684,0.8,322.6,0.8,322.6,4.73684210526316
"ADMEST_6_SOLAR",482688,5,19,17,0.105263157894737,0.8,310.6,0.8,310.6,4.47368421052632
"ADMEST_6_SOLAR",603185,5,19,17,0.105263157894737,0.8,322.6,0.8,322.6,4.47368421052632
"ADOBEE_1_SOLAR",102291,2,20,20,0,-1.5,63.5,1.5,63.5,2
"ADOBEE_1_SOLAR",181841,2,20,20,0,-1.5,63.5,1.5,63.5,2
"ADOBEE_1_SOLAR",916581,2,20,20,0,-1.5,63.5,1.5,63.5,2
"ADOBEE_1_SOLAR",217748,2,20,19.12,0.044,-1.5,63.5,1.5,63.5,1.912
"ADOBEE_1_SOLAR",603185,2,20,17,0.15,-1.5,63.5,1.5,63.5,1.7
"AGRICO_6_PL3N5",201934,1,22.69,21.59,0.0484795063904804,0,5761,0,5761,0.95152049360952
"AGRICO_6_PL3N5",928357,1,22.69,24,0.0577346848832084,0,175321,0,175321,0.942265315116792
"AGRICO_6_PL3N5",124012,1,22.69,25,0.101806963420009,0,5291,0,5291,0.898193036579991
"AGRICO_6_PL3N5",557145,1,22.69,25,0.101806963420009,0,971,0,971,0.898193036579991
"AGRICO_6_PL3N5",561427,1,22.69,25,0.101806963420009,0,270,0,270,0.898193036579991
"AGRICO_7_UNIT",997249,2,59.97,50.5,0.0799442870315263,-1.5,690.5,1.5,690.5,1.84011142593695
"AGRICO_7_UNIT",736984,2,59.97,54,0.0833717253883859,-1.5,660.5,1.5,660.5,1.83325654922323
"AGRICO_7_UNIT",208011,2,59.97,55.83,0.0861971005265478,-1.5,690.5,1.5,690.5,1.8276057989469
